users,runs,avg_tps,median_tps,mean_latency_ms,median_latency_ms,p99_latency_ms,successes,failures
1,3,2.710412132551798,2.948788377502745,392.0417116668735,318.5289500009579,903.0765046703161,60,0
2,3,3.7565488600872237,3.9534565099966787,557.0826625014888,497.9120166778254,1043.4770469919506,120,0
3,3,8.988825577147306,9.073965522538524,332.33399055510137,317.50778333419777,496.19675233019126,180,0
4,3,7.989878513036618,8.301194136103799,499.44582958269166,484.94308332738,953.0305899971668,240,0
5,3,8.392808947395203,8.236156840537387,612.6165553332734,549.9209833409017,1526.8159469893244,300,0
6,3,14.933491903523482,13.743193540210557,410.42690444487056,410.20065000338946,575.2922496751611,360,0
7,3,11.841334213786356,10.077218558694746,620.6616440478856,601.3750666752458,1006.6779999970452,420,0
8,3,11.638808541434152,11.956634661102672,694.5632185414676,666.3569166654876,1057.7535983360333,480,0
9,3,13.392548885393559,13.821863091302335,660.2315472222808,622.7458333305549,1388.4970226719938,540,0
10,3,11.469532252534348,10.476539434762818,869.6932296662029,800.534283334855,2386.741843000151,600,0
11,3,17.22226519829132,17.04539493940575,623.6623730305423,600.7711666704078,949.8851480078883,660,0
12,3,17.62385243849568,17.95624516448286,670.2079352774792,651.3848500035238,997.5184529976103,720,0
13,3,18.62310326251433,18.850808596031307,684.5533451288924,669.1133666705961,1058.5150583407574,780,0
14,3,18.72229775158155,17.85938963215323,742.4468265479109,717.8185999946436,1244.9360333368527,840,0
15,3,25.1137428616691,25.47828732712826,595.5587898892312,585.4169166656599,794.2638593254378,900,0
16,3,23.015793091131236,22.331545216258935,681.2649803125472,655.7213333289837,1113.1494673368677,960,0
17,3,21.770351519739165,22.015069911063595,766.4976782348936,737.9707000024306,1145.5859273365545,1020,0
18,3,24.47926707815913,24.76033985601446,724.2028935186412,718.0843166618919,1039.0029646695866,1080,0
19,3,26.90179229954265,26.73666626094909,693.0270184212101,675.833600005717,1012.4064653366802,1140,0
20,3,22.567009538058837,20.530787478722086,906.6002483331735,862.5124499958474,1480.1410509871007,1200,0
