users,run,total_requests,elapsed_sec,successes,failures,tps,mean_latency_ms,median_latency_ms,p99_latency_ms
1,1,20,10.75805359997321,20,0,1.8590723511593032,537.2034499974689,371.40185000316706,1632.2559439972968
1,2,20,6.782446700002765,20,0,2.948788377502745,338.60916500125313,308.32330000703223,596.2268800032324
1,3,20,6.017977499985136,20,0,3.323375668993345,300.3125200018985,275.8616999926744,480.74669001041906
2,1,40,15.103242100012721,40,0,2.64843798007888,747.184447501786,626.2761500111083,1636.4161019917808
2,2,40,10.117728599987458,40,0,3.9534565099966787,502.04127750112093,446.2521000095876,821.2080239856732
2,3,40,8.569435399986105,40,0,4.667752090186112,422.02226250155945,421.20780001278035,672.8070149983978
3,1,60,6.612324000016088,60,0,9.073965522538524,327.6931133339531,310.13344999519177,463.4108730009756
3,2,60,7.3173271999985445,60,0,8.19971532775136,361.1324650012345,351.230950007448,499.4153749939869
3,3,60,6.190164400002686,60,0,9.692795881152035,308.1763933301166,291.1589499999536,525.7640089956112
4,1,80,9.282028499990702,80,0,8.61880568456347,457.4049737493624,441.916299998411,753.2484729954739
4,2,80,9.637167700013379,80,0,8.301194136103799,477.6780000018334,489.6519000030821,680.805995997216
4,3,80,11.348104100005003,80,0,7.049635718442584,563.2545149968792,523.2610499806469,1425.0373009988105
5,1,100,15.637155900010839,100,0,6.395024813938875,770.8866649976699,623.6514000047464,2868.52646599873
5,2,100,12.141585200006375,100,0,8.236156840537387,597.4427770002512,567.5599000096554,940.5641599837692
5,3,100,9.481148699996993,100,0,10.547245187709345,469.5202240018989,458.5516500083031,771.3572149854737
6,1,120,8.731595000019297,120,0,13.743193540210557,430.262662499202,432.62560000584926,642.0349739945959
6,2,120,6.3226175000017975,120,0,18.979481203784015,312.57433166829287,299.0163000067696,470.32997201313265
6,3,120,9.935583500016946,120,0,12.077800966575875,488.4437191671168,498.9600499975495,613.5118030177547
7,1,140,13.892722399992635,140,0,10.077218558694746,685.2176235722643,640.7648000167683,1283.480795999057
7,2,140,8.640665599989006,140,0,16.202455514558753,428.01510999956264,424.2406999983359,673.8957890032899
7,3,140,15.144420600001467,140,0,9.244328568105566,748.7521985718298,739.1197000106331,1062.6574149887886
8,1,160,13.38169179999386,160,0,11.956634661102672,660.9659556244878,654.2730500077596,853.692815999093
8,2,160,17.186636300000828,160,0,9.30955872965045,844.9285643737312,766.4039499941282,1617.632087005477
8,3,160,11.721412299986696,160,0,13.650232233549332,577.7951356261838,578.393749994575,701.9358920035302
